,자치구,노후도
0,강남구,0.6921642240500371
1,강동구,0.7437895775996232
2,강북구,0.7026468443754019
3,강서구,0.6369730711938543
4,관악구,0.6455742197358079
5,광진구,0.7141304989821458
6,구로구,0.7566886776198172
7,금천구,0.7789789809640394
8,노원구,0.6927501957062708
9,도봉구,0.7197329374163726
10,동대문구,0.7625138904236426
11,동작구,0.8151932933627556
12,마포구,0.7616460479400528
13,서대문구,0.81602513230888
14,서초구,0.7215569617458617
15,성북구,0.7759581749397739
16,성동구,0.6908207745187233
17,송파구,0.6639304290650601
18,양천구,0.5996501376523269
19,영등포구,0.71517919299694
20,용산구,0.7957964842720763
21,은평구,0.764515412033225
22,종로구,0.7472229784721572
23,중구,0.8548017499171467
24,중랑구,0.5972629186752976
