,습도,날짜,자치구
0,78.75,20180501,종로구
1,88.875,20180502,종로구
2,60.666666666666664,20180503,종로구
3,47.916666666666664,20180504,종로구
4,62.0,20180505,종로구
5,79.45833333333333,20180506,종로구
6,47.708333333333336,20180507,종로구
7,48.833333333333336,20180508,종로구
8,54.125,20180509,종로구
9,63.833333333333336,20180510,종로구
10,60.125,20180511,종로구
11,96.5,20180512,종로구
12,80.125,20180513,종로구
13,68.375,20180514,종로구
14,71.66666666666667,20180515,종로구
15,98.75,20180516,종로구
16,98.70833333333333,20180517,종로구
17,74.41666666666667,20180518,종로구
18,42.5,20180519,종로구
19,26.333333333333332,20180520,종로구
20,54.791666666666664,20180521,종로구
21,81.25,20180522,종로구
22,46.333333333333336,20180523,종로구
23,48.166666666666664,20180524,종로구
24,43.125,20180525,종로구
25,47.958333333333336,20180526,종로구
26,47.708333333333336,20180527,종로구
27,52.041666666666664,20180528,종로구
28,76.04166666666667,20180529,종로구
29,68.08333333333333,20180530,종로구
30,55.416666666666664,20180531,종로구
